source,target,edge_id,length,connectivity,shared_points
0,1,0,29.27974052399863,0.012140652557319224,
0,2,1,36.94182122515838,0.05794402356902357,
0,3,2,25.277558811175194,0.3735585402252069,
0,4,3,29.97715763448511,0.10356954788234408,
0,5,4,33.92293281266307,0.010394394312773308,
0,6,5,35.80785710948486,0.0038541754150219756,
0,12,6,32.649271409670746,0.01486610517222762,
0,15,7,35.27862615734491,0.045360679884489406,
0,19,8,37.094699478940974,0.006726123300453864,
0,23,9,33.38295085181754,0.32812574479241147,
1,2,10,41.71909182679391,0.20338352272727273,
1,6,11,34.35673883777515,0.04916964285714286,
1,10,12,26.577677865622736,0.051686860068259385,
1,23,13,23.993671266272102,0.19767525337837835,
1,30,14,36.9854119981196,0.07515010917030568,
2,5,15,29.117077201072966,0.003348648622353674,
2,15,16,37.07796683561015,0.0034384365634365635,
2,23,17,28.770187868841592,0.6659647573710074,
2,26,18,34.72815957403988,0.08470161407064274,
3,6,19,37.73984235675563,0.537924297924298,
4,5,20,29.37840137589021,0.09776149532558592,
4,12,21,24.646714864996763,0.01997412709159493,
4,17,22,20.18481257003553,0.4719253927091716,
4,24,23,28.88089031358605,0.23494331805397747,
4,25,24,20.593115824293186,0.10091914606645734,
5,11,25,29.685106509007966,0.004503244756708665,
5,12,26,23.209619922813776,0.07216679480011183,
5,13,27,30.695178296456408,0.002819914629350462,
5,17,28,29.09592018127797,0.15568056991470666,
5,23,29,36.69553200417548,0.011946530220288782,
5,24,30,18.574947128742217,0.011282229086799616,
5,32,31,17.074208861967243,0.6533407542122972,
6,7,32,31.990916207204283,0.2861725245653817,
6,16,33,34.52754949870149,0.026128795721187023,
6,22,34,31.671636170736324,0.010608337186007089,
6,28,35,41.20050234103818,0.010024392019804864,
6,30,36,20.767853081919046,0.510543598807791,
8,9,37,24.65674620928336,0.0021659704166277723,
8,11,38,30.03141371972929,0.0020839104103945014,
8,12,39,25.93536414514956,0.06456507325592678,
8,17,40,25.630878909196287,0.02058353018568908,
8,25,41,26.99201526226879,0.007976407366670293,
9,13,42,34.722890576248986,0.0021797884097163067,
9,17,43,24.405564752671815,0.11461025852344858,
9,21,44,19.433456597884984,0.014978366728251293,
9,31,45,25.814427494344688,0.02624716414333298,
10,15,46,21.4473863209666,0.24578367025466,
10,18,47,24.7382906345606,0.022736155455246067,
10,19,48,28.238345225131592,0.09566819982415173,
10,29,49,26.405621131271776,0.004698805460750853,
11,12,50,21.985661269292166,0.1985839034754303,
11,13,51,31.680067568269063,0.09752002760221731,
11,17,52,27.1649280736567,0.012405164801499342,
11,21,53,27.976342847496664,0.0005614634794871607,
11,24,54,31.333975419309624,0.000599337953035064,
12,13,55,30.00168975327493,0.04033053412752661,
12,17,56,22.313314662207052,0.1590392760877936,
12,21,57,21.922838701889788,0.14336397026786804,
12,24,58,26.44396491335427,0.03969941212583484,
12,31,59,18.748477302770475,0.8325018896447468,
12,32,60,24.92488845299973,0.002584814974747949,
13,17,61,34.50695674331813,0.37286720231109505,
13,21,62,27.751103020920237,0.009844415887945934,
14,16,63,16.334501987625035,0.28768920769825107,
14,27,64,17.10972186878417,0.23122370799277023,
14,28,65,31.5873292351346,0.08162025166367773,
15,18,66,20.81806116915277,0.39042892591279693,
15,19,67,20.629725265394438,0.4735708197619555,
15,29,68,21.2086037982098,0.019906737998843262,
16,27,69,11.655936891266368,0.33707557576409813,
16,28,70,34.72395311205255,0.06864529317909852,
17,21,71,24.207854389237795,0.09612678514842446,
17,24,72,28.505386813117433,0.37097888466543977,
17,25,73,23.598789154786758,0.07791950534485076,
17,31,74,23.324685361291518,0.4275953101948909,
18,19,75,27.0455986871951,0.2768016709856134,
19,29,76,16.7348970680583,0.8345003827088496,
20,27,77,26.060394945061763,0.026213823305407464,
21,31,78,19.725140529420624,0.358033477067541,
23,26,79,30.716238624153547,0.11850146324668617,
24,25,80,27.025719103409493,0.4697478064216448,
27,28,81,28.67867924394491,0.031264192933054775,
